lid,X3857,Y3857,kind,trigger,forest_type,slope,chm
2019_118,13532801.671104882,2776366.3834744,case,地震,闊葉樹林型,52.777,2
2019_119,13521258.60223141,2751758.639018329,case,地震,闊葉樹林型,49.517,7
2019_120,13508150.545524176,2728152.868648284,case,地震,闊葉樹林型,45.988,11
2019_121,13510877.73099813,2721380.5356951547,case,地震,闊葉樹林型,39.329,3
2019_122,13508285.982101064,2727965.2794134226,case,地震,闊葉樹林型,57.281,15
2019_123,13493733.004177388,2757577.9817388053,case,地震,針闊葉樹混淆,47.52,15
2019_124,13497896.80123496,2755777.121075608,case,地震,針闊葉樹混淆,58.048,3
2019_125,13497085.121703496,2756150.4394003465,case,地震,__NONFOREST__,64.286,0
2019_126,13483215.793740148,2784298.756536216,case,地震,闊葉樹林型,31.811,0
2019_127,13493317.52449926,2779731.0339063467,case,地震,闊葉樹林型,55.102,0
2019_128,13484473.114061937,2773668.98133766,case,地震,闊葉樹林型,36.649,0
2019_129,13484506.78244074,2769901.017298522,case,地震,闊葉樹林型,34.205,22
2019_130,13484727.323952883,2770271.892682268,case,地震,闊葉樹林型,45.147,21
2019_131,13483544.75158944,2768542.313440179,case,地震,闊葉樹林型,30.375,17
2019_132,13488793.738850832,2783963.822535728,case,地震,__NONFOREST__,42.477,0
2019_133,13489462.910292136,2794735.451861083,case,地震,針葉樹林型,56.097,0
2019_134,13475176.719494978,2768226.364608857,case,地震,針闊葉樹混淆,27.42,21
2019_135,13445677.312965348,2676341.5179201947,case,降雨,闊葉樹林型,43.547,5
2019_136,13448896.407146936,2652197.9448602227,case,降雨,闊葉樹林型,45.623,18
2020_0,13473325.110904386,2811980.759897216,case,降雨,闊葉樹林型,53.66,3
2020_1,13489725.015630843,2810328.387970205,case,降雨,針闊葉樹混淆,39.913,34
2020_2,13461840.516130108,2785156.3031719816,case,降雨,針闊葉樹混淆,50.735,15
2020_3,13490931.41338422,2778774.422495557,case,降雨,待成林地,42.65,6
