lid,event,ft,slope,x,y,total,max24,max72,map_mm,annmax_mm
2023_638,卡努颱風,闊葉樹林型,32.985092758994966,261183.85,2654375.83,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_639,卡努颱風,闊葉樹林型,35.94211187138234,261308.69,2654349.85,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_640,卡努颱風,闊葉樹林型,37.30694874098832,261500.58,2654709.87,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_641,卡努颱風,闊葉樹林型,39.43197210676055,261138.9,2654922.7,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_643,卡努颱風,闊葉樹林型,38.659808254090095,260603.37,2654285.22,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_644,卡努颱風,闊葉樹林型,37.83331466287141,260715.3,2654282.74,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_645,卡努颱風,闊葉樹林型,46.23402277192896,260549.86,2654144.27,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_646,卡努颱風,闊葉樹林型,25.253207609369632,260606.78,2654150.7,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_647,卡努颱風,闊葉樹林型,41.18592516570965,260629.08,2653922.2,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_648,卡努颱風,闊葉樹林型,27.806069555844164,261246.33,2653835.28,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_652,卡努颱風,闊葉樹林型,41.59751679121417,261626.52,2653821.01,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_654,卡努颱風,闊葉樹林型,34.21858270764895,263449.64,2654312.37,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_655,卡努颱風,闊葉樹林型,53.47114463301483,263179.99,2654101.64,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_656,卡努颱風,闊葉樹林型,34.03756281454756,263032.06,2653666.44,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_658,卡努颱風,闊葉樹林型,39.98069050753484,262891.24,2653572.72,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_661,卡努颱風,闊葉樹林型,44.710622455169606,263098.67,2653343.17,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_662,卡努颱風,闊葉樹林型,41.09292517464176,263287.91,2653167.39,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_664,卡努颱風,闊葉樹林型,29.71061986959468,265150.24,2660395.94,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_665,卡努颱風,闊葉樹林型,37.247373202381205,264981.28,2660450.79,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_666,卡努颱風,闊葉樹林型,34.30834539460494,265515.43,2659730.17,151.20849609375,104.16500091552734,150.4449920654297,2940.666748046875,165.9717559814453
2023_667,卡努颱風,闊葉樹林型,29.92228709167213,264577.64,2659644.38,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_671,卡努颱風,闊葉樹林型,34.09207978094286,263936.2,2659311.89,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_672,卡努颱風,闊葉樹林型,42.03111377419729,263956.83,2659109.91,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_674,卡努颱風,闊葉樹林型,32.65176013874374,262870.74,2659299.39,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
