case,ft,slope,north,east,planc,profc,elev,slope2,bg_lid,x,y
0,闊葉樹林型,27.565248984490395,0.2873478855663454,0.9578262852211514,0.0080963302752293,-0.0019036697247706,184.0,759.8429515769487,bg_332,304417.6,2650400.7
0,針闊葉樹混淆,40.7270942279994,-0.9001592514155136,0.4355609281042806,-0.015373102866779,-0.005373102866779,2140.0,1658.6962042563416,bg_334,255559.7,2591195.5
0,針闊葉樹混淆,49.77810484395156,-0.2325732132217078,0.9725788916544148,-0.0309756370138578,0.0215243629861421,2294.0,2477.8597218554337,bg_337,275447.5,2651659.7
0,闊葉樹林型,33.02386755579665,6.123233995736766e-17,-1.0,0.015,-0.025,380.0,1090.5758283427986,bg_345,292003.5,2592531.9
0,闊葉樹林型,0.0,-1.0,1.2246467991473532e-16,0.0,0.0,30.0,0.0,bg_347,309141.3,2657522.0
0,針葉樹林型,26.47888107199723,0.9535826651341416,0.3011313679370974,0.0009256926952141,0.0184256926952141,2814.0,701.1311428249732,bg_355,289113.0,2685898.8
0,闊葉樹林型,41.04621124674467,-0.7752349855172893,0.6316729511622357,-0.0058944765045342,-0.0033944765045342,702.0,1684.7914577123886,bg_359,215109.0,2515139.8
0,闊葉樹林型,29.205932247399417,-0.8944271909999159,-0.4472135954999581,-0.0055,-0.0055,1019.0,852.9864784396851,bg_365,245041.2,2667573.6
0,闊葉樹林型,37.60152555834086,0.5843047258450759,-0.8115343414514944,-0.0202660695468914,0.0072339304531085,1613.0,1413.874724314561,bg_367,268236.6,2661218.2
0,闊葉樹林型,45.94384556416114,0.532171545218346,-0.8466365492110047,0.0189701579871269,0.0064701579871269,810.0,2110.836945223489,bg_369,220288.1,2546657.2
0,竹闊混淆林,40.7628826356304,-0.8700221858486124,-0.4930125719808801,-0.0051093355761143,-0.0026093355761143,366.0,1661.6126007661785,bg_370,285367.0,2745938.6
0,針葉樹林型,26.67924362098057,-0.9950371902099892,-0.0995037190209988,0.0001237623762376,0.0001237623762376,1768.0,711.7820401876326,bg_374,241874.8,2539516.5
0,針葉樹林型,33.50097823942329,0.9820064469806472,0.1888473936501244,-0.0035235378031383,0.0039764621968616,1741.0,1122.3155429983128,bg_376,231643.4,2615546.6
0,針葉樹林型,36.08714706573126,0.5144957554275265,-0.8574929257125442,0.0103308823529411,0.0153308823529411,2287.0,1302.2821833437165,bg_378,259603.9,2577034.1
0,闊葉樹林型,18.053902977226738,-0.076696498884737,-0.9970544855015816,-0.023485294117647,-0.038485294117647,66.0,325.9434127111165,bg_379,187891.7,2557476.2
0,闊葉樹林型,62.6746340356859,0.1033398550733824,0.994646105081306,0.0232596362422826,-0.0442403637577173,817.0,3928.109751507157,bg_380,302801.5,2657655.3
0,闊葉樹林型,17.5484006137923,-0.9486832980505138,0.316227766016838,0.007,-0.0079999999999999,108.0,307.94636410214594,bg_388,350435.9,2766913.4
0,闊葉樹林型,17.5484006137923,-0.9486832980505138,0.316227766016838,-0.0072499999999999,0.00275,219.0,307.94636410214594,bg_391,294753.9,2613371.4
0,闊葉樹林型,43.53119928561418,6.123233995736766e-17,-1.0,0.01,-0.005,1201.0,1894.9653112438564,bg_394,261355.5,2565762.7
0,竹闊混淆林,32.18975488338548,0.992876838486922,0.1191452206184306,0.007570977917981,-0.0124290220820189,357.0,1036.180319452439,bg_396,327623.9,2748330.2
0,闊葉樹林型,10.779771619960355,0.919145030018058,-0.3939192985791677,-0.0137931034482758,0.0312068965517241,160.0,116.20347617850274,bg_399,252563.0,2731808.8
0,闊葉樹林型,50.37055877406729,0.4554758043139874,0.8902481629773388,-0.0015795113587655,0.0109204886412344,1466.0,2537.1931912117675,bg_403,258793.3,2551147.1
0,闊葉樹林型,44.87411432914989,-0.6277524511897817,0.7784130394753294,-0.0187460592686002,0.0112539407313997,1917.0,2013.6861368256157,bg_405,241979.6,2542275.4
0,闊葉樹林型,29.424115787413506,0.9751328557914598,0.2216211035889681,0.0015913555992141,0.0040913555992141,1485.0,865.7785898711167,bg_409,300430.4,2687986.6
0,闊葉樹林型,29.710619869594677,0.481918749772156,-0.876215908676647,0.0057197696737044,-0.0017802303262955,1405.0,882.7209330355538,bg_411,284065.1,2731884.1
