uid,NDVI,NDMI,NBR,n_obs
bg_1072,0.7893369197845459,0.3763539493083954,0.6701797246932983,201.0
bg_1078,0.780162513256073,0.2132226526737213,0.5326743721961975,353.0
bg_1079,0.7598804235458374,0.2793026864528656,0.580552875995636,189.0
bg_1082,0.847331166267395,0.3812375366687774,0.6663397550582886,108.0
bg_1095,0.8489253520965576,0.3578180968761444,0.6508966088294983,136.0
bg_1106,0.8654319047927856,0.3888912796974182,0.6778298616409302,410.0
bg_1111,0.8883568644523621,0.3961973786354065,0.7163077592849731,456.0
bg_1122,0.8411080241203308,0.3211802840232849,0.6150647401809692,243.0
bg_1123,0.8074718117713928,0.2562743127346039,0.5429864525794983,324.0
bg_1131,0.8849545121192932,0.4003527462482452,0.7008327841758728,203.0
bg_1139,0.8184308409690857,0.3456668257713318,0.6213902235031128,390.0
bg_1144,0.8656623363494873,0.3366722166538238,0.6585738062858582,137.0
bg_1146,0.8701649308204651,0.3655934333801269,0.6683266758918762,142.0
bg_1148,0.8337116241455078,0.3015821874141693,0.6152828335762024,149.0
bg_1149,0.8423641324043274,0.3299526572227478,0.6147360801696777,308.0
bg_1156,0.857589840888977,0.2822559773921966,0.6001582145690918,358.0
bg_1158,0.8374247550964355,0.258694052696228,0.5877516865730286,435.0
bg_1160,0.7307032346725464,0.3099778294563293,0.6017699241638184,59.0
bg_1175,0.8890118598937988,0.3974218070507049,0.6929802298545837,605.0
bg_1178,0.8052391409873962,0.2471188157796859,0.5448060631752014,472.0
bg_1189,0.8604587912559509,0.3299881517887115,0.6381567716598511,83.0
bg_1191,0.8494985699653625,0.2744799852371216,0.5986905097961426,138.0
bg_1196,0.9003888368606567,0.3915016949176788,0.7130400538444519,441.0
bg_1201,0.7833021879196167,0.2859164178371429,0.6035864353179932,455.0
bg_1214,0.8249741196632385,0.2859101891517639,0.6218647956848145,116.0
bg_1216,0.8290891051292419,0.3656658828258514,0.6464828252792358,107.0
bg_1222,0.8029005527496338,0.2473969459533691,0.5371455550193787,140.0
bg_1229,0.8531062006950378,0.2833689153194427,0.6209724545478821,146.0
bg_1250,0.8804516196250916,0.3895694315433502,0.6973512768745422,215.0
bg_1251,0.8734896183013916,0.3143006861209869,0.6270879507064819,362.0
bg_1255,0.8680410981178284,0.3303773105144501,0.6362098455429077,98.0
bg_1260,0.8850982785224915,0.3275056183338165,0.6583094596862793,411.0
bg_1261,0.8492621779441833,0.3458151519298553,0.6387436985969543,450.0
bg_1263,0.870161771774292,0.377005785703659,0.6776055097579956,271.0
bg_1286,0.8809298276901245,0.340817928314209,0.6474195122718811,369.0
bg_1294,0.8280806541442871,0.2566076219081878,0.5721209645271301,192.0
bg_1295,0.842431902885437,0.2748412191867828,0.5730027556419373,169.0
bg_1297,0.8141342401504517,0.3330769538879394,0.6155420541763306,171.0
bg_1303,0.8772918581962585,0.380663126707077,0.6817042231559753,516.0
bg_1304,0.8969849944114685,0.3773271739482879,0.6738663911819458,246.0
bg_1305,0.8304428458213806,0.3075816929340362,0.6192947030067444,191.0
bg_1307,0.8455474376678467,0.2601288557052612,0.5744844675064087,565.0
bg_1316,0.7872439622879028,0.3259955942630768,0.626524031162262,427.0
bg_1334,0.8573891520500183,0.2666000127792358,0.5956019163131714,516.0
bg_1337,0.7500710487365723,0.1963520050048828,0.4487669765949249,198.0
bg_1348,0.6144590973854065,0.0450676865875721,0.2998642027378082,373.0
bg_1349,0.7480898499488831,0.2164609730243683,0.4843181073665619,536.0
bg_1354,0.8887478709220886,0.3935330510139465,0.7013643383979797,487.0
bg_1358,0.7606692314147949,0.2431299686431884,0.529457151889801,437.0
bg_1365,0.8105807900428772,0.2225929796695709,0.5392849445343018,420.0
bg_1376,0.8692434430122375,0.3533261716365814,0.6705233454704285,134.0
bg_1378,0.8807753324508667,0.3758276998996734,0.6777792572975159,198.0
bg_1389,0.8694873452186584,0.2288985252380371,0.5598976016044617,187.0
bg_1398,0.8029844164848328,0.1960784196853637,0.5095767974853516,481.0
bg_1402,0.8253074288368225,0.2196346223354339,0.5561267137527466,243.0
bg_1409,0.5177433490753174,0.0487638302147388,0.2639731764793396,878.0
bg_1427,0.5870549082756042,0.0445433184504509,0.2864905893802643,413.0
bg_1434,0.833518922328949,0.26807701587677,0.5841166973114014,409.0
