uid,NDVI,NDMI,NBR,n_obs,before
bg_41172,0.8878334760665894,0.3986818194389343,0.7007845044136047,10.0,2019-07-15
bg_43687,0.8440007567405701,0.3128800392150879,0.6428210735321045,7.0,2019-07-15
bg_43973,0.5628779530525208,0.2917492985725403,0.5402244329452515,6.0,2019-07-15
bg_44852,0.676397979259491,0.3325462341308594,0.6242468357086182,6.0,2019-07-15
bg_44877,0.737876296043396,0.1923637986183166,0.4629493355751037,12.0,2019-07-15
bg_45375,0.8596353530883789,0.3802701830863952,0.6900147795677185,10.0,2019-07-15
bg_46679,0.7656728625297546,0.2923686504364013,0.5690972208976746,6.0,2019-07-15
bg_46844,0.8350551724433899,0.2988430857658386,0.6064308881759644,7.0,2019-07-15
bg_46896,0.5107368230819702,0.1930847615003585,0.3758288621902466,9.0,2019-07-15
bg_47192,0.8206447958946228,0.3068529069423675,0.6227642297744751,3.0,2019-07-15
bg_48001,0.8336222171783447,0.2963360548019409,0.6137404441833496,7.0,2019-07-15
bg_49381,0.6531033515930176,0.2262773811817169,0.470313549041748,11.0,2019-07-15
bg_6290,0.8200803399085999,0.3184184432029724,0.6159558296203613,36.0,2020-03-26
bg_11070,0.8754218816757202,0.3298588395118713,0.6467300057411194,35.0,2020-03-26
bg_16027,0.9891107082366944,0.0916666686534881,0.3905683159828186,31.0,2020-03-26
bg_18982,0.861561119556427,0.2567567527294159,0.5339568853378296,35.0,2020-03-26
bg_23081,0.8527140021324158,0.2219815701246261,0.5712901949882507,36.0,2020-03-26
bg_23833,0.8855068683624268,0.072499006986618,0.4370860755443573,33.0,2020-03-26
bg_24637,0.8693137168884277,0.2531937658786773,0.5854660868644714,28.0,2020-03-26
bg_27105,0.8108870387077332,0.2378163188695907,0.554542601108551,36.0,2020-03-26
bg_31593,0.878900408744812,0.3623104095458984,0.6465321183204651,40.0,2020-03-26
bg_40049,0.9086900353431702,0.4067062139511108,0.7114929556846619,36.0,2020-03-26
bg_48398,0.8515008091926575,0.2879580855369568,0.5888051390647888,37.0,2020-03-26
bg_301,0.8624374866485596,0.3814751803874969,0.6808839440345764,18.0,2020-05-05
bg_840,0.8359792828559875,0.4238101840019226,0.690787136554718,20.0,2020-05-05
bg_3783,0.8535060286521912,0.3566845655441284,0.6616435647010803,34.0,2020-05-05
bg_4597,0.7990949749946594,0.320968896150589,0.5942330360412598,20.0,2020-05-05
bg_6389,0.835849940776825,0.35579913854599,0.6687615513801575,22.0,2020-05-05
bg_9716,0.8430197834968567,0.3160700798034668,0.6461748480796814,21.0,2020-05-05
bg_12651,0.8203965425491333,0.2817959189414978,0.5955836176872253,16.0,2020-05-05
bg_12937,0.8438034653663635,0.3999044001102447,0.7046247720718384,18.0,2020-05-05
bg_14438,0.7053107619285583,0.2511239349842071,0.5281115770339966,22.0,2020-05-05
bg_18186,0.7827260494232178,0.2957249879837036,0.5961422920227051,19.0,2020-05-05
bg_19873,0.7185558676719666,0.1639862656593322,0.4464280307292938,36.0,2020-05-05
bg_23214,0.80694979429245,0.2929292917251587,0.5925096869468689,19.0,2020-05-05
bg_25638,0.672958493232727,0.1987941861152649,0.418310135602951,36.0,2020-05-05
bg_38955,0.8479607105255127,0.2293395847082138,0.5353641510009766,40.0,2020-05-05
bg_47771,0.8228118419647217,0.3105773329734802,0.6003059148788452,18.0,2020-05-05
bg_5384,0.7864364385604858,0.2497956901788711,0.5517399311065674,18.0,2020-05-15
bg_12035,0.775017499923706,0.3259114921092987,0.5745577812194824,18.0,2020-05-15
bg_14132,0.7941659092903137,0.1596060693264007,0.5082930326461792,14.0,2020-05-15
bg_15743,0.822648286819458,0.3466513752937317,0.6326994299888611,17.0,2020-05-15
bg_18892,0.8049817681312561,0.238364964723587,0.5241871476173401,32.0,2020-05-15
bg_25295,0.8102862238883972,0.1951377242803573,0.51961350440979,16.0,2020-05-15
bg_25924,0.7332035303115845,0.1527508199214935,0.4378339946269989,27.0,2020-05-15
bg_40522,0.7942147254943848,0.192236840724945,0.4930919110774994,16.0,2020-05-15
bg_44858,0.7631161212921143,0.2097470015287399,0.5093388557434082,30.0,2020-05-15
bg_1069,0.6858256459236145,0.2286799252033233,0.5098762512207031,18.0,2021-05-15
bg_3539,0.7101597189903259,0.1805673986673355,0.4833849668502807,20.0,2021-05-15
bg_4556,0.7524187564849854,0.2270327359437942,0.521881103515625,17.0,2021-05-15
bg_6527,0.7450549602508545,0.2720566987991333,0.5861392617225647,20.0,2021-05-15
bg_7291,0.5684931874275208,0.0815635621547699,0.3167054653167724,20.0,2021-05-15
bg_8859,0.7549309730529785,0.2094011902809143,0.5242415070533752,20.0,2021-05-15
bg_9882,0.8502081036567688,0.3523145616054535,0.647637665271759,20.0,2021-05-15
bg_14129,0.8636595606803894,0.3596251606941223,0.6784443259239197,16.0,2021-05-15
bg_15064,0.5855973958969116,0.0694698542356491,0.3077753782272339,19.0,2021-05-15
bg_15092,0.5674448609352112,0.0315754860639572,0.2834881246089935,34.0,2021-05-15
bg_15582,0.7137910723686218,0.2372538149356842,0.5421352386474609,16.0,2021-05-15
bg_16928,0.7307753562927246,0.2173073589801788,0.5463765859603882,8.0,2021-05-15
bg_18636,0.5475671887397766,-0.0048250081017613,0.2447292655706405,24.0,2021-05-15
bg_18672,0.7312430143356323,0.29122194647789,0.590377926826477,16.0,2021-05-15
bg_19339,0.750325083732605,0.2416905015707016,0.5328629612922668,27.0,2021-05-15
bg_20192,0.7830113768577576,0.365955650806427,0.6311711072921753,18.0,2021-05-15
bg_21789,0.7235386967658997,0.2227221578359604,0.526194155216217,19.0,2021-05-15
